Top Goalscorer-Assister,Club,Individual Goals,Team Goals,Individual Assists,Team Assists,Total Individual G+A,Total Team G+A,Percentage,Result
L. Messi,FC Barcelona,36,90,13,62,49,152,0.32,Champion
A. Griezmann,Atlético Madrid,15,55,8,36,23,91,0.25,Qualified for European Competition
K. Benzema,Real Madrid,21,63,6,40,27,103,0.26,Qualified for European Competition
D. Parejo,Valencia,9,51,7,38,16,89,0.18,Qualified for European Competition
J. Mata,Getafe,14,48,7,34,21,82,0.26,Qualified for European Competition
W. Ben Yedder,Sevilla FC,18,62,9,46,27,108,0.25,Qualified for European Competition
B. Iglesias,RCD Espanyol,17,48,3,25,20,73,0.27,Qualified for European Competition (Cup Competition)
I. Williams,Athletic Bilbao,13,41,4,27,17,68,0.25,Upper Mid-Table
M. Oyarzabal & W. Jose,Real Sociedad,13,45,2,25,15,70,0.21,Upper Mid-Table
G. Lo Celso,Real Betis,9,44,4,30,13,74,0.18,Upper Mid-Table
Jony,Deportivio Alavés,5,39,12,26,17,65,0.26,Lower Mid-Table
Charles,SD Eibar,14,46,1,26,15,72,0.21,Lower Mid-Table
Y. En-Nesyri,CD Leganés,9,37,2,25,11,62,0.18,Lower Mid-Table
S. Cazorla,Villareal CF,4,49,10,32,14,81,0.17,Lower Mid-Table
J. Morales,Levante UD,12,59,5,41,17,100,0.17,Lower Mid-Table
E. Ünal,Real Valladolid CF,6,32,3,18,9,50,0.18,Lower Mid-Table
I. Aspas,Celta de Vigo,20,53,7,37,27,90,0.3,Lower Mid-Table
C. Stuani,Girona FC,19,37,0,23,19,60,0.32,Relegated
C. Ávila,SD Huesca,10,43,2,28,12,71,0.17,Relegated
R. de Tomás,Rayo Vallecano,14,41,1,23,15,64,0.23,Relegated
