Top Goalscorer+Assister,Club,Individual Goals,Team Goals,Individual Assists,Team Assists,Total Individual G+A,Total Team G+A,Percentage,Result
K. Mbappé ,PSG,33,105,6,70,39,175,0.22,Champion
N. Pépé ,Lille,22,68,12,47,34,115,0.3,Qualified for European Competition
M. Depay,Lyon,10,70,10,51,20,121,0.17,Qualified for European Competition
W. Khazri,AS St-Etienne,13,59,6,39,19,98,0.19,Qualified for European Competition
F. Thauvin,Marseille,16,60,8,45,24,105,0.23,Upper Mid-Table
A. Delort,Montepellier,14,53,7,29,21,82,0.26,Upper Mid-Table
A. Saint-Maximin,OGC NICE,6,30,3,17,9,47,0.19,Upper Mid-Table
R. Oudin,Stade Reims,10,39,3,26,13,65,0.2,Qualified for European Competition (Cup Competition)
T. Savanier,Nimes,6,57,13,37,19,94,0.2,Upper Mid-Table
M. Niang,Rennes,11,55,4,33,15,88,0.17,Upper Mid-Table
K. Lala,Strasbourg,5,58,9,43,14,101,0.14,Qualified for European Competition (Cup Competition)
E. Sala,Nantes,12,48,2,27,14,75,0.19,Lower Mid-Table
S. Bahoken,Angers,11,44,2,28,13,72,0.18,Lower Mid-Table
F. Kamano,Bordeaux,10,34,1,21,11,55,0.2,Lower Mid-Table
M. Konate,Amiens SC,7,31,2,21,9,52,0.17,Lower Mid-Table
M. Gradel,Tolouse,11,35,5,16,16,51,0.31,Lower Mid-Table
R. Falcao,AS Monaco,15,38,2,24,17,62,0.27,Lower Mid-Table
N. Sliti & J. Tavares,Dijon FCO,5,31,3,21,8,52,0.15,Relegated
C. Ninga & F. Fajr,Caen,6,29,3,18,9,47,0.19,Relegated
M. Thuram,Guingamp,9,28,1,21,10,49,0.2,Relegated
